Number,Heating rate,CaO,SiO2,Al2O3,MgO,Na2O,F,Li2O,B2O3,Fe2O3,MnO,Cr2O3,TiO2,BaO,K2O,V2O5,FeO,P2O5,S,Ce2O3,La2O3,R,CaO/AL2O3,T (℃)
316,25,37.03,37.03,0,4.15,5.19,0,1.04,4.15,0,5.19,0,6.22,0,0,0,0,0,0,0,0,1,0,1118
317,25,36.51,36.51,0,4.15,5.19,0,1.04,4.15,0,6.22,0,6.22,0,0,0,0,0,0,0,0,1,0,1101
318,25,28.18,46.91,0,4.15,5.19,0,1.04,4.15,0,4.15,0,6.23,0,0,0,0,0,0,0,0,0.6,0,1048
319,25,33.38,41.72,0,4.15,5.19,0,1.04,4.15,0,4.15,0,6.22,0,0,0,0,0,0,0,0,0.8,0,1088
320,25,35.58,39.52,0,4.15,5.19,0,1.04,4.15,0,4.15,0,6.22,0,0,0,0,0,0,0,0,0.9,0,1095
321,25,40.87,34.23,0,4.15,5.19,0,1.04,4.15,0,4.15,0,6.22,0,0,0,0,0,0,0,0,1.19,0,1119
322,15,34.91,5,29.09,0,5,10,5,5,0,0,0,0,6,0,0,0,0,0,0,0,6.98,1.2,1194
323,15,37.33,5,26.67,0,5,10,5,5,0,0,0,0,6,0,0,0,0,0,0,0,7.47,1.4,1137
324,10,42.5,0,42.5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1241
325,25,28.04,46.74,8,3.07,6.85,3.48,0,0,0,0,0,0.39,3.43,0,0,0,0,0,0,0,0.6,3.51,1166
326,25,27.49,45.82,7.84,3.01,6.72,3.41,0,0,0,0,0,2.34,3.36,0,0,0,0,0,0,0,0.6,3.51,1156
327,25,26.96,44.94,7.69,2.95,6.59,3.35,0,0,0,0,0,4.22,3.3,0,0,0,0,0,0,0,0.6,3.51,1149
328,25,26.45,44.09,7.55,2.9,6.46,3.28,0,0,0,0,0,6.03,3.24,0,0,0,0,0,0,0,0.6,3.5,1144
329,25,25.96,43.28,7.41,2.84,6.34,3.22,0,0,0,0,0,7.77,3.18,0,0,0,0,0,0,0,0.6,3.5,1139
330,25,25.49,42.49,7.27,2.79,6.23,3.16,0,0,0,0,0,9.45,3.12,0,0,0,0,0,0,0,0.6,3.51,1129
331,25,31.36,44.79,6.89,3.18,6.72,3.58,0,0,0,0,0,0.34,3.14,0,0,0,0,0,0,0,0.7,4.55,1173
332,25,30.75,43.91,6.75,3.12,6.59,3.51,0,0,0,0,0,2.29,3.08,0,0,0,0,0,0,0,0.7,4.56,1166
333,25,30.15,43.07,6.63,3.06,6.46,3.44,0,0,0,0,0,4.17,3.02,0,0,0,0,0,0,0,0.7,4.55,1165
334,25,29.58,42.25,6.5,3,6.34,3.38,0,0,0,0,0,5.98,2.96,0,0,0,0,0,0,0,0.7,4.55,1167
335,7.5,48.25,0,32.17,0,0,0,9.47,10.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1067
336,7.5,46.33,0,30.89,0,0,0,9.09,9.67,0,0,0,0,0,0,0,0,0,0,4.02,0,0,1.5,1079
337,7.5,44.21,0,29.48,0,0,0,8.68,9.63,0,0,0,0,0,0,0,0,0,0,8,0,0,1.5,1111
338,7.5,42.29,0,28.2,0,0,0,8.3,9.21,0,0,0,0,0,0,0,0,0,0,12,0,0,1.5,1135
339,25,38.77,9.61,24.98,0,0,9.36,0,7.68,0,0,0,0,9.61,0,0,0,0,0,0,0,4.03,1.55,1249
340,25,38.77,9.61,24.98,0,0,9.36,1.92,5.76,0,0,0,0,9.61,0,0,0,0,0,0,0,4.03,1.55,1188
341,25,38.77,9.61,24.98,0,0,9.36,3.84,3.84,0,0,0,0,9.61,0,0,0,0,0,0,0,4.03,1.55,1157
342,25,38.77,9.61,24.98,0,0,9.36,5.76,1.92,0,0,0,0,9.61,0,0,0,0,0,0,0,4.03,1.55,1207
343,25,46,33.97,3.86,0,7.97,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,11.92,1184
344,25,44.88,33.16,3.86,1.93,7.97,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,11.63,1148
345,25,43.76,32.35,3.86,3.86,7.98,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,11.34,1115
346,25,42.64,31.54,3.86,5.79,7.97,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,11.05,1109
347,25,42.08,31.14,3.86,6.76,7.98,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,10.9,1132
348,25,41.51,30.74,3.86,7.72,7.97,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,10.75,1176
349,15,40,7,31,3,12,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,5.71,1.29,1140
350,15,42.5,7,30,3,12,0,3.5,2,0,0,0,0,0,0,0,0,0,0,0,0,6.07,1.42,1106
351,25,60.93,4.9,21.56,7.84,0,4.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.43,2.83,1376
352,25,59.76,4.92,23.61,7.87,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.15,2.53,1389
353,25,58.59,4.94,25.68,7.9,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86,2.28,1415
