Number,Heating rate,CaO,SiO2,Al2O3,MgO,Na2O,F,Li2O,B2O3,Fe2O3,MnO,Cr2O3,TiO2,BaO,K2O,V2O5,FeO,P2O5,S,Ce2O3,La2O3,R,CaO/AL2O3,T (℃)
1,25,45.81,36.64,3.9,0,7.8,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,11.75,1123
2,25,45.53,36.42,3.9,0,7.8,5.85,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,11.67,1118
3,25,45.26,36.2,3.9,0,7.8,5.85,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,11.61,1094
4,25,45,35.99,3.9,0,7.8,5.85,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,11.54,1063
5,25,44.72,35.77,3.9,0,7.8,5.85,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,11.47,1025
6,25,44.45,35.56,3.9,0,7.8,5.85,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,11.4,1011
7,25,44.18,35.34,3.9,0,7.8,5.85,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,11.33,990
8,25,49.06,39.24,3.9,0,0,5.85,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,12.58,1268
9,25,48.52,38.8,3.9,0,0,5.85,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,12.44,1137
10,25,47.97,38.38,3.9,0,0,5.85,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,12.3,1095
11,25,47.44,37.94,3.9,0,0,5.85,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,12.16,1062
12,25,46.89,37.51,3.9,0,0,5.85,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,12.02,1016
13,25,46.35,37.07,3.9,0,0,5.85,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,11.88,962
14,25,45.81,36.64,3.9,0,0,5.85,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,11.75,930
15,10,10.62,21.24,11.57,13.79,0,0,0,0,0,0,3,39.78,0,0,0,0,0,0,0,0,0.5,0.92,1225
16,10,11.95,19.91,11.57,13.79,0,0,0,0,0,0,3,39.78,0,0,0,0,0,0,0,0,0.6,1.03,1241
17,10,13.12,18.74,11.57,13.79,0,0,0,0,0,0,3,39.78,0,0,0,0,0,0,0,0,0.7,1.13,1244
18,10,14.16,17.7,11.57,13.79,0,0,0,0,0,0,3,39.78,0,0,0,0,0,0,0,0,0.8,1.22,1271
19,25,33.15,39.12,7.82,2.93,7.82,5.24,0,0,0,0,0,0,3.91,0,0,0,0,0,0,0,0.85,4.24,1119
20,25,33.15,35.2,7.82,2.93,7.82,5.24,0,0,0,0,0,3.91,3.91,0,0,0,0,0,0,0,0.94,4.24,1108
21,25,33.15,31.29,7.82,2.93,7.82,5.24,0,0,0,0,0,7.82,3.91,0,0,0,0,0,0,0,1.06,4.24,1120
22,25,33.15,29.34,7.82,2.93,7.82,5.24,0,0,0,0,0,9.78,3.91,0,0,0,0,0,0,0,1.13,4.24,1147
23,25,33.15,27.38,7.82,2.93,7.82,5.24,0,0,0,0,0,11.73,3.91,0,0,0,0,0,0,0,1.21,4.24,1151
24,25,29.24,27.38,7.82,2.93,7.82,5.24,0,0,0,0,0,11.73,7.82,0,0,0,0,0,0,0,1.07,3.74,1136
25,25,25.33,27.38,7.82,2.93,7.82,5.24,0,0,0,0,0,11.73,11.73,0,0,0,0,0,0,0,0.93,3.24,1085
26,25,21.42,27.38,7.82,2.93,7.82,5.24,0,0,0,0,0,11.73,15.65,0,0,0,0,0,0,0,0.78,2.74,1075
27,15,36.67,5,33.33,0,0,10,5,5,0,0,0,0,5,0,0,0,0,0,0,0,7.33,1.1,1172
28,15,35.62,5,32.38,0,2,10,5,5,0,0,0,0,5,0,0,0,0,0,0,0,7.12,1.1,1171
29,15,34.57,5,31.43,0,4,10,5,5,0,0,0,0,5,0,0,0,0,0,0,0,6.91,1.1,1166
30,15,33.52,5,30.48,0,6,10,5,5,0,0,0,0,5,0,0,0,0,0,0,0,6.7,1.1,1158
31,15,32.48,5,29.52,0,8,10,5,5,0,0,0,0,5,0,0,0,0,0,0,0,6.5,1.1,1134
32,15,31.43,5,28.57,0,10,10,5,5,0,0,0,0,5,0,0,0,0,0,0,0,6.29,1.1,1146
33,15,39.57,5,30.43,0,0,10,5,5,0,0,0,0,5,0,0,0,0,0,0,0,7.91,1.3,1207
34,15,38.43,5,29.57,0,2,10,5,5,0,0,0,0,5,0,0,0,0,0,0,0,7.69,1.3,1205
35,15,37.3,5,28.7,0,4,10,5,5,0,0,0,0,5,0,0,0,0,0,0,0,7.46,1.3,1201
36,15,36.17,5,27.83,0,6,10,5,5,0,0,0,0,5,0,0,0,0,0,0,0,7.23,1.3,1174
37,15,35.04,5,26.96,0,8,10,5,5,0,0,0,0,5,0,0,0,0,0,0,0,7.01,1.3,1172
38,15,33.91,5,26.09,0,10,10,5,5,0,0,0,0,5,0,0,0,0,0,0,0,6.78,1.3,1161
39,15,35.62,5,32.38,0,0,10,5,5,0,0,0,0,5,2,0,0,0,0,0,0,7.12,1.1,1168
40,15,34.57,5,31.43,0,0,10,5,5,0,0,0,0,5,4,0,0,0,0,0,0,6.91,1.1,1162
41,15,33.52,5,30.48,0,0,10,5,5,0,0,0,0,5,6,0,0,0,0,0,0,6.7,1.1,1168
42,15,32.48,5,29.52,0,0,10,5,5,0,0,0,0,5,8,0,0,0,0,0,0,6.5,1.1,1153
43,15,31.43,5,28.57,0,0,10,5,5,0,0,0,0,5,10,0,0,0,0,0,0,6.29,1.1,1148
44,15,38.43,5,29.57,0,0,10,5,5,0,0,0,0,5,2,0,0,0,0,0,0,7.69,1.3,1198
45,15,37.3,5,28.7,0,0,10,5,5,0,0,0,0,5,4,0,0,0,0,0,0,7.46,1.3,1194
46,15,36.17,5,27.83,0,0,10,5,5,0,0,0,0,5,6,0,0,0,0,0,0,7.23,1.3,1211
47,15,35.04,5,26.96,0,0,10,5,5,0,0,0,0,5,8,0,0,0,0,0,0,7.01,1.3,1202
48,10,42.5,42.5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1291
49,10,40.38,40.38,0,0,14.25,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1126
50,10,38.25,38.25,0,0,13.5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1026
51,10,36.13,36.13,0,0,12.75,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,968
52,10,37.31,5.39,37.3,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,5,0,6.92,1,1141
53,10,39.72,5.39,34.89,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,5,0,7.37,1.14,1152
54,10,44.77,5.39,29.84,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,5,0,8.31,1.5,1140
55,10,48.13,5.39,26.48,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,5,0,8.93,1.82,1139
56,25,23.21,26.86,3,2,8,0,0.78,3,0,0,0,33.15,0,0,0,0,0,0,0,0,0.86,7.74,1177
57,25,22.63,28.25,3,2,8,0,0.78,3,0,0,0,32.33,0,0,0,0,0,0,0,0,0.8,7.54,1171
58,25,22.06,29.64,3,2,8,0,0.78,3,0,0,0,31.52,0,0,0,0,0,0,0,0,0.74,7.35,1149
59,25,21.49,31.03,3,2,8,0,0.78,3,0,0,0,30.7,0,0,0,0,0,0,0,0,0.69,7.16,1153
60,25,31.1,25.9,3,2,4,0,1,3,0,0,0,30,0,0,0,0,0,0,0,0,1.2,10.37,1150
61,25,31.21,28.28,2.59,1.72,8.62,0,0.86,5.17,0,0,0,21.55,0,0,0,0,0,0,0,0,1.1,12.05,1152
62,15,48.9,6.9,24.1,1.4,5.6,3.4,2.1,7.6,0,0,0,0,0,0,0,0,0,0,0,0,7.09,2.03,1164
63,15,47.6,7,23.1,1.5,5.9,3.2,2.1,9.6,0,0,0,0,0,0,0,0,0,0,0,0,6.8,2.06,1093
64,15,45.9,6.9,22.8,1.7,5.5,3.4,2.1,11.7,0,0,0,0,0,0,0,0,0,0,0,0,6.65,2.01,1067
65,15,44.6,7,22,1.6,6.1,3.4,2.2,13.1,0,0,0,0,0,0,0,0,0,0,0,0,6.37,2.03,1032
